,index,3-5,3-6,3-7,4-5,4-6,4-7,5-5,5-6,5-7
0,107,0.733,0.733,0.733,0.931,0.781,0.781,0.93,0.931,0.931
1,120,0.713,0.713,0.713,0.713,0.713,0.713,0.872,0.872,0.872
2,130,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671
3,135,0.613,0.613,0.611,0.613,0.613,0.611,0.613,0.613,0.613
4,143,0.614,0.614,0.608,0.614,0.649,0.649,0.567,0.608,0.608
5,173,0.524,0.524,0.524,0.751,0.792,0.792,0.751,0.751,0.751
6,201,0.473,0.473,0.799,0.799,0.799,0.799,1.0,1.0,1.0
7,203,0.571,0.571,0.571,0.634,0.792,0.792,0.792,0.788,0.634
8,222,0.738,0.788,0.788,0.738,0.788,0.788,0.581,0.872,0.872
9,297,0.782,0.782,0.782,0.782,0.782,0.782,0.782,0.782,0.782
